category,month,latitude,longitude,street,outcome,source
anti-social-behaviour,2026-06,51.517782,-0.138296,On or near Further/higher Educational Building,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.515939,-0.132693,On or near Soho Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.499783,-0.108240,On or near Cooper Close,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.498553,-0.135291,On or near Caxton Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.495936,-0.141491,On or near Carlisle Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.514286,-0.132818,On or near Chapone Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507832,-0.123383,On or near Villiers Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507446,-0.137521,On or near Masons Yard,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.509909,-0.126298,On or near Theatre/concert Hall,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.496941,-0.130617,On or near Conference/exhibition Centre,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.494818,-0.117089,On or near Pratt Walk,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.499042,-0.111930,On or near Lambeth North,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.495415,-0.130794,On or near Monck Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507725,-0.125708,On or near Corner House Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.509251,-0.133398,On or near St James's Market,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.514286,-0.132818,On or near Chapone Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511096,-0.122226,On or near Southampton Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.514286,-0.132818,On or near Chapone Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.510295,-0.132318,On or near Coventry Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.514867,-0.138790,On or near Further/higher Educational Building,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.512133,-0.117918,On or near Montreal Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.513150,-0.138845,On or near Carnaby Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.502888,-0.117319,On or near Chicheley Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.503196,-0.127032,On or near Downing Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511783,-0.129778,On or near Nightclub,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511703,-0.128701,On or near Little Newport Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.514064,-0.118890,On or near Kean Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507394,-0.128042,On or near Charing Cross,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507843,-0.147232,On or near Charles Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.513494,-0.137289,On or near Dufour's Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.500608,-0.108091,On or near Gray Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.496941,-0.130617,On or near Conference/exhibition Centre,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.497024,-0.112777,On or near Cosser Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.508676,-0.145368,On or near Fitzmaurice Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.501162,-0.116252,On or near Addington Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.496940,-0.127159,On or near Lord North Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.512300,-0.128388,On or near Theatre/concert Hall,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.512166,-0.123818,On or near Shopping Area,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.517742,-0.125614,On or near Little Russell Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.498335,-0.131193,On or near Abbey Orchard Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511790,-0.131925,On or near Dansey Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.509491,-0.125924,On or near William Iv Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507394,-0.128042,On or near Charing Cross,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.516295,-0.129487,On or near Conference/exhibition Centre,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507725,-0.125708,On or near Corner House Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.498553,-0.135291,On or near Caxton Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.510295,-0.132318,On or near Coventry Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.504010,-0.115515,On or near Waterloo,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.503276,-0.107317,On or near Theatre/concert Hall,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511054,-0.135400,On or near Theatre/concert Hall,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.498595,-0.113202,On or near Newnham Terrace,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.506270,-0.137627,On or near Pall Mall Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.504176,-0.149643,On or near Hamilton Mews,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.516820,-0.127583,On or near Dyott Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.496569,-0.128759,On or near Conference/exhibition Centre,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.520559,-0.131451,On or near Ridgmount Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.493937,-0.129472,On or near Page Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.517803,-0.133971,On or near Percy Mews,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.494818,-0.117089,On or near Pratt Walk,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.515869,-0.121554,On or near Parker Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.516568,-0.121381,On or near Newton Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.516001,-0.122471,On or near Macklin Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.505464,-0.114844,On or near Shopping Area,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.519933,-0.133899,On or near Shopping Area,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.493697,-0.133011,On or near Fynes Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.509491,-0.125924,On or near William Iv Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507576,-0.141776,On or near Nightclub,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.517845,-0.121977,On or near Further/higher Educational Building,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.494818,-0.117089,On or near Pratt Walk,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511918,-0.114050,On or near Arundel Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511790,-0.132459,On or near A401,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.515939,-0.132693,On or near Soho Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.509396,-0.130626,On or near Orange Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.517858,-0.130120,On or near Adeline Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511022,-0.119880,On or near Strand,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.515070,-0.138003,On or near Shopping Area,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511111,-0.123710,On or near Henrietta Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.508964,-0.122761,On or near Lower Robert Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.518043,-0.122651,On or near Further/higher Educational Building,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.517114,-0.119009,On or near Gate Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.503196,-0.127032,On or near Downing Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.501162,-0.116252,On or near Addington Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.512429,-0.142384,On or near Nightclub,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.519153,-0.140863,On or near Great Titchfield Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.500077,-0.113602,On or near Supermarket,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.498553,-0.135291,On or near Caxton Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.508401,-0.142195,On or near Dover Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.505035,-0.112677,On or near Further/higher Educational Building,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.515088,-0.140222,On or near Hills Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.516178,-0.131904,On or near Further/higher Educational Building,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.499692,-0.114266,On or near Westminster Bridge Road,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.497497,-0.133922,On or near Strutton Ground,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.503496,-0.106473,On or near Hatfields,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.514537,-0.128196,On or near St Giles Passage,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.500077,-0.113602,On or near Supermarket,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507979,-0.130338,On or near Pall Mall East,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.508409,-0.123461,On or near Buckingham Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.494818,-0.117089,On or near Pratt Walk,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.497580,-0.111573,On or near Police Station,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.502428,-0.110508,On or near Pear Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.514684,-0.140844,On or near Argyll Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.500396,-0.111082,On or near Baylis Road,,UK Police street-level API sample around central London
