indicator_name,estimate,estimate_type,estimate_type_detail,estimate_geographic_location,relative_standard_error,source
Simple Assault,10378.0240530895,count,,National,0.0553411846850818,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,1306063.36752106,count,,National,0.0185228290139666,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,620228.729316824,count,,National,0.0052413422255426,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,236342.746025429,count,,National,0.00661757182234086,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,258093.167963425,count,,National,0.0135111478248602,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,,count,,National,,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,1751957.24755642,count,,National,0.0126628262519048,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,559573.09655458,count,,National,0.0186724879797415,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,12315.2923930833,count,,National,0.0504201214852211,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,,count,,National,,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,37774.6216745549,count,,National,0.0906038150848655,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,10279.9966319866,count,,National,0.0671954869550247,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,1319387.41487839,count,,National,0.0139642626102724,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,886673.41795152,count,,National,0.00882996977973651,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,217639.509652317,count,,National,0.031538218334374,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,483.210478452254,count,,National,0.0396539190317735,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,88573.9766258585,count,,National,0.0395518300865932,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,1775.49516534693,count,,National,0.111152005947471,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,110640.436970018,count,,National,0.0496518894728629,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,16166.3904126411,count,,National,0.102206845589712,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,2135244.89452399,count,,National,0.0115933140456396,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,174256.615184508,count,,National,0.015161908330291,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,114198.83277373,count,,National,0.0113942590237554,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,,count,,National,,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,1676820.3893755,count,,National,0.00806895479622906,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,478167.871977076,count,,National,0.0223524494055761,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
