indicator_name,estimate,estimate_type,estimate_type_detail,estimate_geographic_location,relative_standard_error,source
NIBRS crimes against persons (Total),16817.3358821479,count,,National,0.048915448909881,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),32396.3594083704,count,,National,0.0652587492856279,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),12594.5709349988,count,,National,0.0751268433695017,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),35546.8578182616,count,,National,0.0509792344904594,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),44880.8159462808,count,,National,0.051045063596854,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),42658.5364224166,count,,National,0.0561313341422245,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),37852.2580642914,count,,National,0.0632046617169067,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),21937.5939418365,count,,National,0.0514806118932858,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),2282733.11250341,count,,National,0.0158274557386947,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),1030237.81194995,count,,National,0.00389784863032996,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),395288.167137054,count,,National,0.00519061737274327,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),428985.101349147,count,,National,0.0103142489721794,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),,count,,National,,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),3057233.7251698,count,,National,0.0107874890480306,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),908643.437458769,count,,National,0.0171487312326227,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),21125.7180197161,count,,National,0.0392257228488541,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),,count,,National,,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),51761.796091865,count,,National,0.0903412574196652,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),16209.2655789347,count,,National,0.0609752189626472,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),2459996.10437679,count,,National,0.0120034602310758,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),1354110.5137316,count,,National,0.00734648192979102,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),329052.675026268,count,,National,0.0288975358374877,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),2498.49188258778,count,,National,0.0219021917815512,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),136633.490750538,count,,National,0.0349814132998214,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),3255.87540331736,count,,National,0.089556788221229,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),164625.789567195,count,,National,0.0475578777882839,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),22039.0274226294,count,,National,0.102515427398234,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),3649051.50392231,count,,National,0.0100841719662158,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),291060.455479882,count,,National,0.0137907445281134,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),203047.333732471,count,,National,0.00962573970950426,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),,count,,National,,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),2810260.99626066,count,,National,0.00737019392057402,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),919282.475279986,count,,National,0.0162722142671886,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),208492.774461418,count,,National,0.0232420483710176,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),287610.666632958,count,,National,0.0139909256414546,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),155319.02805795,count,,National,0.0172520593172288,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),7155.20957838575,count,,National,0.0140664442613723,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),31594.7730403852,count,,National,0.0289484308005196,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),51551.4060448978,count,,National,0.036413250154987,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),9600.87570977964,count,,National,0.0800284623093099,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),72388.9908215911,count,,National,0.0290904016638982,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),189231.640962201,count,,National,0.0144446284901718,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),2281735.33826618,count,,National,0.00715898032794568,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),1595609.04757505,count,,National,0.00969144273994973,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),711138.541073167,count,,National,0.022525905607325,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),315318.595865948,count,,National,0.027358577761913,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),708933.948424282,count,,National,0.0279301832602242,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,763096.546763976,count,,National,0.00617708855473985,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,20905.0537185066,count,,National,0.0305724626231428,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,742191.493045469,count,,National,0.00647963151300661,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,214945.489893253,count,,National,0.00939624086826666,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,297878.082556497,count,,National,0.0228546223718488,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,137407.277693468,count,,National,0.0151242502631439,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,81355.2695223671,count,,National,0.0151505819063093,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,130997.968914174,count,,National,0.0168634033398034,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,18248.4518068281,count,,National,0.0149450267436348,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,324457.632928679,count,,National,0.0103402920189124,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,438638.913835297,count,,National,0.005594856960237,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,548036.647167416,count,,National,0.00731418010923795,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,215059.89959656,count,,National,0.0141352149960244,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,584985.721052208,count,,National,0.00747844384600268,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,95967.8442280546,count,,National,0.0111318520801265,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,82142.9814837137,count,,National,0.0293062187408754,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,581950.881670353,count,,National,0.00715886518438636,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,145657.111279731,count,,National,0.0167324665641952,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,35488.5538138923,count,,National,0.0269296715829148,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,226388.795179109,count,,National,0.00662229223754742,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,145362.557410899,count,,National,0.00721585672140933,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,299703.76917355,count,,National,0.00688601436042286,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,215237.053226965,count,,National,0.0265037461216239,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,41111.099917275,count,,National,0.0281725512193088,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,237522.410339601,count,,National,0.0243108451902838,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,530669.355468557,count,,National,0.00832345856523553,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,302588.906139027,count,,National,0.0149881319106285,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,15456.2295473867,count,,National,0.0301361148921392,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,64404.6240428076,count,,National,0.0145482828591505,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,29083.2641179258,count,,National,0.0140368483419438,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,1126.39841959518,count,,National,0.0250584049134989,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,3726.78342457566,count,,National,0.0265031831472104,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,9487.64159118325,count,,National,0.0321122368644728,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,1523.08447364013,count,,National,0.0844560172779093,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,28857.7763920042,count,,National,0.0220638887450917,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,135709.634218552,count,,National,0.012970234744911,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,53950.4505097115,count,,National,0.00808381974374147,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,89855.7869172086,count,,National,0.00762730372412576,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,123259.194004262,count,,National,0.00801307203491266,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,153813.605296197,count,,National,0.00722504902401308,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,166148.664355383,count,,National,0.00725956634166371,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,2465.56957107974,count,,National,0.0543161267147387,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,6331.17034313553,count,,National,0.094879388785735,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,2616.4636409047,count,,National,0.0996931861597289,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,4868.77459802882,count,,National,0.0785733015268181,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,6278.98685124135,count,,National,0.0771352675019535,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,7018.44636015872,count,,National,0.0828488006577088,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,7488.84697735075,count,,National,0.0868569081212454,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,3290.95312076257,count,,National,0.0654025582353081,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,458744.404824759,count,,National,0.010229354120368,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,172283.702135513,count,,National,0.00231683032692276,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,63939.8403924695,count,,National,0.00306679751568345,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,67218.0770142949,count,,National,0.00347863141388833,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,,count,,National,,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,575288.023604662,count,,National,0.00550839789936254,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,164229.795469887,count,,National,0.0212450010570448,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,1588.28934037187,count,,National,0.0449320774727288,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,,count,,National,,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,,count,,National,,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,3044.50305814533,count,,National,0.0619516427522516,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,419004.259230167,count,,National,0.00770096997907591,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,306271.195131101,count,,National,0.00758434331580099,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,37821.0924027086,count,,National,0.0338911477783984,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,846.227063673262,count,,National,0.0371687753050484,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,17362.717866018,count,,National,0.047552005859014,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,636.607384304318,count,,National,0.0795478439961596,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,17745.7970598901,count,,National,0.0482895360402491,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,1229.74302882291,count,,National,0.081841893683567,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,680682.78355013,count,,National,0.00700804530068466,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,47556.491378895,count,,National,0.0147186426040157,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,34857.2718349509,count,,National,0.00715370407766454,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,,count,,National,,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,530669.355468557,count,,National,0.00832345856523553,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,302588.906139027,count,,National,0.0149881319106285,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,15456.2295473867,count,,National,0.0301361148921392,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,56602.4172203467,count,,National,0.0146957254152197,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,29083.2641179258,count,,National,0.0140368483419438,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,1126.39841959518,count,,National,0.0250584049134989,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,3726.78342457566,count,,National,0.0265031831472104,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,9487.64159118325,count,,National,0.0321122368644728,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,1523.08447364013,count,,National,0.0844560172779093,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,7802.20682246087,count,,National,0.0302054679780176,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,28857.7763920042,count,,National,0.0220638887450917,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,371751.352590009,count,,National,0.00562995246386213,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,299703.76917355,count,,National,0.00688601436042286,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,215237.053226965,count,,National,0.0265037461216239,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,41111.099917275,count,,National,0.0281725512193088,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Aggravated Assault,237522.410339601,count,,National,0.0243108451902838,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,2423700.34248223,count,,National,0.0101918436969676,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,279382.909300102,count,,National,0.0598974452316039,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,2144317.43318212,count,,National,0.00710599304540257,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,1902612.22192231,count,,National,0.00817084730811371,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,13979.4257772813,count,,National,0.0142032556571856,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,8432.64612281849,count,,National,0.0256739792803193,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,5023.23577853672,count,,National,0.0226474081016081,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,218025.16797421,count,,National,0.0388516856661574,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,69970.8228001892,count,,National,0.033514684278907,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,1153682.40685262,count,,National,0.0153677594371837,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,1270017.93562961,count,,National,0.00731685812846439,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,2001680.51077474,count,,National,0.00984685905100821,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,422019.831707487,count,,National,0.0160471933206927,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,2016688.03881141,count,,National,0.00956019363697071,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,293363.003399401,count,,National,0.0180371808686371,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,113649.300271414,count,,National,0.0312156380772615,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,2148887.79059943,count,,National,0.00961228091392793,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,237745.365467143,count,,National,0.0175791501780115,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,37067.186415648,count,,National,0.017132201889464502,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,991591.025359492,count,,National,0.0100313575152882,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,588993.414433127,count,,National,0.00920002263542163,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,901499.256198875,count,,National,0.0125360740788926,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,372558.636499327,count,,National,0.0206981674228793,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,274974.386748632,count,,National,0.0295254600011563,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,320501.810815331,count,,National,0.0372285736759694,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,1676820.3893755,count,,National,0.00806895479622906,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,478167.871977076,count,,National,0.0223524494055761,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,134274.725690453,count,,National,0.0251111964709818,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,207521.170130519,count,,National,0.0165116628296081,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,101032.740551547,count,,National,0.019095381147414,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,3463.80941331077,count,,National,0.0145312141496459,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,15516.7248316316,count,,National,0.0211830871903687,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,37033.5877420458,count,,National,0.0426330457586504,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
